id,created_at,text,screen_name,location,followers_count
754828006779158528,Sun Jul 17 23:59:55 +0000 2016,"b""REPORT: Baton Rouge Shooter Gavin Long Was Nation Of Islam Member... Railed Against 'Crackers' On YOUTUBE... https://t.co/3OPdLW2qLm #BLM?!""",THSHong,"Hilo, HI",2443
754827998470086656,Sun Jul 17 23:59:53 +0000 2016,"b'""#BLM is a Revolutionary Black Nationalist Marxist Movement where Police are targeted"" \\nRon Martinelli   \\n@FoxNews'",PMgeezer,DFW area,26874
754827992921145344,Sun Jul 17 23:59:52 +0000 2016,b'RT @DanLoFMass: Militia is a military force that engages in rebel or terrorist activities such as #BLM #NationofIslam #Panthers PLEASE DO S\\u2026',mountaingyrl99,,8927
754827988793905152,Sun Jul 17 23:59:51 +0000 2016,b'RT @Xpressionable: @T_H_E_F_A_C_E @dodi70 @BmoreDoc @SIMONEKASH @samswey @EZAD60 @InBlackAmerica7 @BlackActionNews @BLM5280 #BLM  https://t\\u2026',EZAD60,United States,795
754827985744568320,Sun Jul 17 23:59:50 +0000 2016,b'@EricHolder nice job on your legacy and obummers ! #BLM are terrorist murdering our police! You are either with our police or against!',Stock_swingers,,7
754827983269928960,Sun Jul 17 23:59:49 +0000 2016,"b""RT @Danielle_Parker: Please like &amp; share if you care abt POLICE lives.Let's start trending #PLM over #BLM 2 show our allegiance!@infowars h\\u2026""",koalagirl08,Australia,650
754827976852856832,Sun Jul 17 23:59:48 +0000 2016,"b""RT @TwitchyTeam: 'Oink Oink Bang Bang': When will #BLM put a stop to its violent rhetoric? https://t.co/sVEQ9Krl59""",Michael_Zak,"Washington, DC",1802
754827975388835840,Sun Jul 17 23:59:48 +0000 2016,"b""RT @LynnePatton: So #BLM says #AllLivesMatter is racist &amp; dismissive.  I don't agree, but Google it.  Therefore, right now, #BlueLivesMatte\\u2026""",ssullivan315,,3629
754827974436917248,Sun Jul 17 23:59:47 +0000 2016,"b""#BatonRouge Murderous mob mentality doesn't need much incitement to act. Losers with assault weapons murdering black cops. #BLM my ass.""",EthnikMatter,,139
754827968665366528,Sun Jul 17 23:59:46 +0000 2016,b'He just became a FATHER... :( HIS LIFE MATTERED.\\n\\nWill hypocrite freeloading #BLM Terrorist #THUGS protest about... https://t.co/VKfxmFnnCB',TerrorScoop,,123
754827963015634947,Sun Jul 17 23:59:45 +0000 2016,"b'RT @_Makada_: A Week Ago in #BatonRouge, The New Black Panther Party &amp; #BLM Called For ""Black Men to Start Killing"" https://t.co/GXmGpso0Q4'",nigelfoxworthy,'Merica,268
754827960973086720,Sun Jul 17 23:59:44 +0000 2016,"b""RT @2ALAW: [WATCH] Black Guy Destroys #BLM \\n\\nWhite Police Officers Aren't Murdering Blacks In Cold Blood.\\n\\nStop Being Stupid!!\\nhttps://t.co\\u2026""",CriswellsOk,,1184
754827957802237956,Sun Jul 17 23:59:43 +0000 2016,"b""RT WalshFreedom: Here's a #BLM protester from just last weekend. Today, 3 cops were assassinated. https://t.co/HZHlFrdZL1""",Kiara_Ramni,,33
754827955206062080,Sun Jul 17 23:59:43 +0000 2016,b'RT @DanLoFMass: Militia is a military force that engages in rebel or terrorist activities such as #BLM #NationofIslam #Panthers PLEASE DO S\\u2026',MsD_408,Not where I want to be  ,1431
754827923597750272,Sun Jul 17 23:59:35 +0000 2016,b'@VeritasEver When democrats and #BLM hate/ fear-mongering lead to cop ambushes. Blame everyone but #BlackLivesMatter &amp; the #MSM',Jas0n_T,"Indiana, USA",407
754827921647366145,Sun Jul 17 23:59:35 +0000 2016,"b'#BatonRouge We have a race problem in America. White supremacists=patriots, while #BLM activists=inherently racist. https://t.co/VxHXbZRBSK'",sweetgreatmom,"Philadelphia, PA",886
754827921416679424,Sun Jul 17 23:59:35 +0000 2016,"b""RT @WalshFreedom: Here's a #BLM protester from just last weekend. Today, 3 cops were assassinated. https://t.co/DeP9kZOe66""",khop_bryce,,111
754827916261732353,Sun Jul 17 23:59:33 +0000 2016,"b""Islamic terror attacks &amp; #BlackLiesMatter terrorists epitomize B0's failed legacy: https://t.co/oGBp9vA67i #BatonRouge #BLM #StraightUpEvil""",Nopropaganda,AZ,6958
754827915230060548,Sun Jul 17 23:59:33 +0000 2016,"b""RT @sengeezer: The #BatonRouge shooter may not be a #BLM member, but they're sure encouraging people like him, ready to burst into racist c\\u2026""",JC7109,,11099
754827891720986624,Sun Jul 17 23:59:28 +0000 2016,b'RT @YoungDems4Trump: The nerve these people have is astounding.#BLM\\n#NiceAttack #BatonRougeAttack #DallasPoliceShootings #OrlandoShooting h\\u2026',ivygreenvine,Tennessee,250
754827890424844290,Sun Jul 17 23:59:27 +0000 2016,"b'RT @RavenHUWolf: #BLM terrorist says ""KILL ALL WHITE BABIES"".\\nBLM is not about all lives matter, they support killing \'babies\' now. https:/\\u2026'",bjgardner85,,1667
754827889560911872,Sun Jul 17 23:59:27 +0000 2016,"b""RT @2ALAW: [WATCH] Black Guy Destroys #BLM \\n\\nWhite Police Officers Aren't Murdering Blacks In Cold Blood.\\n\\nStop Being Stupid!!\\nhttps://t.co\\u2026""",wdg1959,,256
754827886180392960,Sun Jul 17 23:59:26 +0000 2016,"b""RT @JulietteAkinyi: Black thugs' lives matter to Black Lives Matter.  #BLM couldn't care less about all other lives, including those of nor\\u2026""",RadicalGrambo,Ohio,1822
754827879838457856,Sun Jul 17 23:59:25 +0000 2016,"b'RT @Lauren_Southern: History will not remember you well #BLM\\n\\nRosa Parks didn\'t twerk in front of the bus in a crop top holding an ""oink oi\\u2026'",IIHotelYorba,The Wall,946
754827876621508608,Sun Jul 17 23:59:24 +0000 2016,"b""RT @EsotericCD: So we've established that Baton Rouge murderer was motivated by #BLM-related cop hatred.\\n\\nWhat do we do now?\\n\\nNo really, wh\\u2026""",maggiebeauchamp,"Madrid, Spain. USA/UK",8263
754827874310299650,Sun Jul 17 23:59:23 +0000 2016,b'@zip90210 @Kirisa1973 @JaredWyand #BLM',freethnker2,Reality,670
754827871621832704,Sun Jul 17 23:59:23 +0000 2016,"b'RT @TJLyesmith: So Portland, ME police forcibly removed the hijabs of Muslim women arrested during the #BLM protest &amp; then released the pic\\u2026'",Ajzionts,DC ,884
754827868379582464,Sun Jul 17 23:59:22 +0000 2016,"b'A lot of rhetoric about #BLM, but both  #BatonRouge and #DallasPoliceShootings were by ex-military trained to kill by our own government. \\U0001f4a1'",tabsmc,SoCal & Costa Rica,124
754827857453584384,Sun Jul 17 23:59:19 +0000 2016,"b'RT @genophilia: Blacks, 13% of US population, commit 59% of murders.\\n#BatonRouge #BatonRougeShooting #BlackLivesMatter #BLM https://t.co/QR\\u2026'",MYNYMtheGoyim,,89
754827852911112192,Sun Jul 17 23:59:18 +0000 2016,"b""RT @WalshFreedom: Here's a #BLM protester from just last weekend. Today, 3 cops were assassinated. https://t.co/DeP9kZOe66""",JoyDNL,North Carolina,634
754827841611628544,Sun Jul 17 23:59:16 +0000 2016,b'RT @AlexWilliams__: A few photos from today at the Richmond #BLM March https://t.co/ZtFMaz5ucI',i_lovehonnies,,223
754827840886018048,Sun Jul 17 23:59:15 +0000 2016,b'RT @YoungDems4Trump: #BlackLivesMatter just killed two more cops in Baton Rough \\U0001f61e rt if you think #BLM is a terrorist group. This needs to\\u2026',ajam2007,"Mayodan, NC",149
754827840873308160,Sun Jul 17 23:59:15 +0000 2016,b'RT @tweetwen115: #BLM https://t.co/RSwQsKGijT',Midgespeaks,planet earth,31922
754827840277745664,Sun Jul 17 23:59:15 +0000 2016,"b'@DylHarrington @theblaze #blm have been advocating cop kill, they are probably celebrating right now'",ZonPython,,17
754827835768991744,Sun Jul 17 23:59:14 +0000 2016,"b'RT @Lauren_Southern: History will not remember you well #BLM\\n\\nRosa Parks didn\'t twerk in front of the bus in a crop top holding an ""oink oi\\u2026'",ManBot6000,location location,795
754827833898303488,Sun Jul 17 23:59:14 +0000 2016,"b""RT @thomeography: I wouldn't be surprised if these police shootings were staged to justify police violence &amp; discredit #BLM https://t.co/V4\\u2026""",moreaboutnyyyy,why you here?,712
754827833365696512,Sun Jul 17 23:59:14 +0000 2016,b'#batonrouge\\n antoher muslime cunt After #Nice #orlando 9/11 are we awake yet? Islam=waging jihad under guise of #BLM https://t.co/Snvi5q8xEr',roepme,,3732
